,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
126,7160,3,1,1,1.0,0.0,1.0,0.0,0.0,2,1.0,2.0
363,3584,2,1,1,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0
370,4280,2,1,1,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0
31,7000,3,1,4,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0
113,9620,3,1,1,1.0,0.0,1.0,0.0,0.0,2,1.0,0.0
222,9166,2,1,1,1.0,0.0,1.0,0.0,1.0,2,0.0,1.0
462,2160,3,1,2,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0
177,6050,3,1,1,1.0,0.0,1.0,0.0,0.0,0,1.0,1.0
57,9000,4,2,4,1.0,1.0,0.0,0.0,1.0,1,1.0,0.0
244,5320,3,1,2,1.0,1.0,1.0,0.0,0.0,0,1.0,1.0
24,8800,3,2,2,1.0,0.0,0.0,0.0,1.0,2,0.0,0.0
17,8500,3,2,4,1.0,0.0,0.0,0.0,1.0,2,0.0,0.0
402,5880,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
66,13200,2,1,1,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0
238,4510,4,2,2,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0
272,4075,3,1,1,1.0,1.0,1.0,0.0,0.0,2,0.0,1.0
261,3510,3,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
353,2856,3,1,3,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
94,6000,4,2,4,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
180,4500,4,2,1,0.0,0.0,1.0,0.0,1.0,2,0.0,1.0
192,6600,3,1,1,1.0,1.0,1.0,0.0,0.0,0,1.0,0.0
250,3510,3,1,3,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
23,4560,3,2,2,1.0,1.0,1.0,0.0,1.0,1,0.0,0.0
502,3480,2,1,1,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
456,2398,3,1,1,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0
518,3500,2,1,1,1.0,1.0,0.0,0.0,0.0,0,0.0,2.0
5,7500,3,3,1,1.0,0.0,1.0,0.0,1.0,2,1.0,1.0
116,6900,3,2,1,1.0,1.0,1.0,0.0,0.0,0,1.0,2.0
45,6000,3,2,3,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0
311,6060,2,1,1,1.0,0.0,1.0,0.0,0.0,1,0.0,1.0
312,3600,3,1,1,1.0,0.0,1.0,0.0,1.0,0,1.0,0.0
16,6600,4,2,2,1.0,1.0,1.0,0.0,1.0,1,1.0,2.0
48,4300,3,2,2,1.0,0.0,1.0,0.0,0.0,1,0.0,2.0
204,4770,3,1,1,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0
414,4040,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
3,7500,4,2,2,1.0,0.0,1.0,0.0,1.0,3,1.0,0.0
268,4950,4,1,2,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0
340,5300,5,2,2,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
60,6000,3,2,2,1.0,1.0,0.0,0.0,0.0,1,0.0,1.0
196,7686,3,1,1,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0
524,3264,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
110,6600,3,1,1,1.0,1.0,1.0,0.0,0.0,2,1.0,1.0
362,4050,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
297,3640,3,2,2,1.0,0.0,1.0,0.0,0.0,0,0.0,2.0
29,5500,4,2,2,1.0,0.0,1.0,0.0,1.0,1,1.0,1.0
234,3880,3,2,2,1.0,0.0,1.0,0.0,0.0,2,0.0,1.0
211,12900,3,1,1,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0
26,6000,3,2,4,1.0,1.0,1.0,0.0,1.0,0,1.0,1.0
7,16200,5,3,2,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
181,7200,3,1,2,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0
50,7440,3,2,4,1.0,0.0,0.0,0.0,0.0,1,1.0,2.0
108,3240,4,1,3,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
37,9000,4,2,4,1.0,0.0,0.0,0.0,1.0,2,0.0,0.0
157,2817,4,2,2,0.0,1.0,1.0,0.0,0.0,1,0.0,0.0
519,4840,2,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
118,6420,3,1,1,1.0,0.0,1.0,0.0,1.0,0,1.0,0.0
407,2145,3,1,3,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
114,6800,2,1,1,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0
515,3210,3,1,2,1.0,0.0,1.0,0.0,0.0,0,0.0,2.0
203,5400,4,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
175,9800,4,2,2,1.0,1.0,0.0,0.0,0.0,2,0.0,1.0
380,4500,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
231,4320,3,1,1,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0
144,4700,4,1,2,1.0,1.0,1.0,0.0,1.0,1,0.0,0.0
194,8150,3,2,1,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0
420,4120,2,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
433,3480,4,1,2,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0
248,4100,2,2,1,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0
289,5850,2,1,1,1.0,1.0,1.0,0.0,0.0,2,0.0,1.0
415,4785,3,1,2,1.0,1.0,1.0,0.0,1.0,1,0.0,0.0
505,4000,3,1,2,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0
141,6660,4,2,2,1.0,1.0,1.0,0.0,0.0,1,1.0,1.0
416,3450,3,1,1,1.0,0.0,1.0,0.0,0.0,2,0.0,2.0
67,7700,3,2,1,1.0,0.0,0.0,0.0,0.0,2,0.0,2.0
281,4500,2,1,1,1.0,0.0,0.0,0.0,1.0,2,0.0,0.0
227,6000,2,1,1,1.0,0.0,1.0,0.0,1.0,1,0.0,0.0
168,4260,4,1,2,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0
188,5720,2,1,2,1.0,0.0,0.0,0.0,1.0,0,1.0,2.0
329,3960,3,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
428,4040,2,1,1,1.0,0.0,0.0,0.0,0.0,1,0.0,2.0
496,4000,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
193,4800,2,1,1,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0
81,4000,3,2,2,1.0,0.0,1.0,0.0,1.0,1,0.0,1.0
109,6615,4,2,2,1.0,1.0,0.0,1.0,0.0,1,0.0,1.0
287,5500,3,1,2,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0
145,5000,3,1,4,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
92,4800,3,2,4,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0
152,5400,5,1,2,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0
464,4500,2,1,2,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0
447,3500,2,1,1,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0
257,8250,3,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
278,3400,3,1,2,1.0,0.0,1.0,0.0,0.0,2,1.0,1.0
405,3060,3,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
275,4032,2,1,1,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0
103,6350,3,2,3,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0
322,3460,3,2,1,1.0,0.0,1.0,0.0,1.0,1,0.0,0.0
74,4040,3,1,2,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0
349,4820,3,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
522,2475,3,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
119,7020,3,1,1,1.0,0.0,1.0,0.0,1.0,2,1.0,1.0
318,4340,3,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
338,3780,2,1,2,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0
403,12944,3,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
488,5200,4,1,3,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
290,2610,4,3,2,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
478,3600,3,1,2,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0
334,3290,2,1,1,1.0,0.0,0.0,1.0,0.0,1,0.0,0.0
436,2145,3,1,2,1.0,0.0,1.0,0.0,0.0,0,1.0,0.0
310,5985,3,1,1,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0
36,7482,3,2,3,1.0,0.0,0.0,1.0,0.0,1,1.0,0.0
139,6360,3,1,1,1.0,1.0,1.0,0.0,1.0,2,1.0,0.0
253,3520,2,1,2,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
321,3630,3,2,2,1.0,0.0,0.0,1.0,0.0,2,0.0,1.0
59,6000,3,2,4,1.0,1.0,0.0,0.0,1.0,1,0.0,0.0
111,8372,3,1,3,1.0,0.0,0.0,0.0,1.0,2,0.0,2.0
298,5800,3,1,1,1.0,0.0,0.0,1.0,0.0,2,0.0,1.0
291,2953,3,1,2,1.0,0.0,1.0,0.0,1.0,0,0.0,2.0
262,3750,2,1,1,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0
410,3850,3,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
150,5136,3,1,2,1.0,1.0,1.0,0.0,1.0,0,1.0,2.0
266,4880,3,1,1,1.0,0.0,0.0,0.0,0.0,2,1.0,2.0
434,3792,4,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
38,6000,3,1,4,1.0,1.0,0.0,0.0,1.0,2,0.0,2.0
356,2520,5,2,1,0.0,0.0,1.0,0.0,1.0,1,0.0,0.0
198,5948,3,1,2,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0
411,2145,3,1,3,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
146,10500,2,1,1,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
446,3986,2,2,1,0.0,1.0,1.0,0.0,0.0,1,0.0,2.0
147,5500,3,2,2,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
355,8250,3,1,1,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0
323,5400,3,1,1,1.0,0.0,0.0,0.0,0.0,3,0.0,1.0
123,7320,4,2,2,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
481,2700,2,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
96,9000,3,1,1,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0
143,4800,5,2,3,0.0,0.0,1.0,1.0,0.0,0,0.0,2.0
239,4000,3,1,2,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0
472,3630,4,1,2,1.0,0.0,0.0,0.0,0.0,3,0.0,1.0
97,6400,3,1,1,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0
449,1650,3,1,2,0.0,0.0,1.0,0.0,0.0,0,0.0,2.0
293,4410,2,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0
399,7350,2,1,1,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
122,6254,4,2,1,1.0,0.0,1.0,0.0,0.0,1,1.0,1.0
183,7980,3,1,1,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0
202,4120,2,1,1,1.0,0.0,1.0,0.0,0.0,1,0.0,1.0
246,3520,3,1,1,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0
346,2176,2,1,2,1.0,1.0,0.0,0.0,0.0,0,1.0,1.0
336,8080,3,1,1,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0
400,3512,2,1,1,1.0,0.0,0.0,0.0,0.0,1,1.0,2.0
408,4000,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
450,3450,3,1,2,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0
320,4320,3,1,2,1.0,0.0,0.0,0.0,0.0,2,1.0,0.0
125,15600,3,1,1,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0
342,7152,3,1,2,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0
223,6321,3,1,2,1.0,0.0,1.0,0.0,1.0,1,0.0,0.0
514,3000,3,1,2,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
219,7000,3,1,2,1.0,0.0,1.0,0.0,0.0,0,0.0,2.0
129,11460,3,1,3,1.0,0.0,0.0,0.0,0.0,2,1.0,1.0
477,4960,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
325,3460,4,1,2,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0
532,3000,2,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
485,3630,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
487,5400,4,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
404,4900,3,1,2,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
332,5500,4,1,2,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0
294,4000,4,2,2,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
417,3640,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
384,4500,2,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
438,4500,2,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
112,4300,6,2,2,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
179,3180,3,2,2,1.0,0.0,0.0,0.0,0.0,2,0.0,1.0
348,3150,2,2,1,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0
383,4500,4,2,2,1.0,0.0,1.0,0.0,0.0,2,0.0,0.0
374,3520,2,2,1,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0
314,4040,2,1,2,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
151,4400,4,1,2,1.0,0.0,0.0,0.0,1.0,2,1.0,1.0
448,4095,2,1,1,1.0,0.0,0.0,0.0,0.0,2,0.0,1.0
233,4160,3,1,1,1.0,1.0,1.0,0.0,1.0,0,0.0,2.0
507,3600,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
352,5830,2,1,1,1.0,0.0,0.0,0.0,0.0,2,0.0,2.0
164,6710,3,2,2,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0
317,4992,3,2,2,1.0,0.0,0.0,0.0,0.0,2,0.0,2.0
136,5400,4,2,2,1.0,0.0,0.0,0.0,1.0,2,0.0,2.0
197,2800,3,2,2,0.0,0.0,1.0,0.0,1.0,1,0.0,1.0
258,4040,3,1,2,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
232,3745,3,1,2,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0
115,8000,3,1,1,1.0,1.0,1.0,0.0,1.0,2,1.0,1.0
120,6540,3,1,1,1.0,1.0,1.0,0.0,0.0,2,1.0,0.0
396,3640,2,1,1,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
