,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
224,10240,2,1,1,1.0,0.0,0.0,0.0,1.0,2,1.0,2.0
457,3000,3,1,1,0.0,0.0,0.0,0.0,1.0,0,0.0,2.0
381,4000,2,1,1,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0
347,3350,3,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
127,6500,3,2,3,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0
535,3360,2,1,1,1.0,0.0,0.0,0.0,0.0,1,0.0,2.0
285,6650,3,1,2,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0
492,2650,3,1,2,1.0,0.0,1.0,0.0,0.0,1,0.0,2.0
468,2835,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
107,6420,3,1,3,1.0,0.0,1.0,0.0,0.0,0,1.0,2.0
421,4750,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
369,3600,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
133,4800,3,1,3,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0
526,3180,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
44,6000,4,2,4,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0
169,6540,4,2,2,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0
65,8880,3,2,2,1.0,0.0,1.0,0.0,1.0,1,0.0,0.0
283,4360,4,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
85,8250,3,2,3,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0
242,3640,3,1,2,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0
186,11410,2,1,2,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
437,5880,3,1,1,1.0,0.0,0.0,0.0,0.0,1,0.0,2.0
159,3150,3,2,1,1.0,1.0,1.0,0.0,1.0,0,0.0,0.0
12,6550,4,2,2,1.0,0.0,0.0,0.0,1.0,1,1.0,1.0
35,7000,3,2,4,1.0,0.0,0.0,0.0,1.0,2,0.0,0.0
28,7950,5,2,2,1.0,0.0,1.0,1.0,0.0,2,0.0,2.0
170,5500,3,2,1,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0
142,10500,4,2,2,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
453,3069,2,1,1,1.0,0.0,0.0,0.0,0.0,1,0.0,2.0
386,3850,3,1,1,1.0,0.0,0.0,0.0,0.0,2,0.0,2.0
221,3420,4,2,2,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
95,4100,3,2,3,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0
51,6325,3,1,4,1.0,0.0,0.0,0.0,1.0,1,0.0,2.0
240,3840,3,1,2,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0
423,3750,3,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
351,3600,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
432,6060,3,1,1,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0
178,7085,3,1,1,1.0,1.0,1.0,0.0,0.0,2,1.0,1.0
444,3120,3,1,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
41,6360,3,2,4,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0
495,4000,3,1,2,1.0,0.0,0.0,0.0,0.0,1,0.0,2.0
441,4370,3,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
206,5800,2,1,1,1.0,1.0,1.0,0.0,1.0,0,0.0,1.0
392,3990,3,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
282,2175,3,1,2,0.0,1.0,1.0,0.0,1.0,0,0.0,2.0
358,3480,2,1,1,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0
397,5900,2,1,1,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0
254,4510,4,1,2,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0
469,4600,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
4,7420,4,1,2,1.0,1.0,1.0,0.0,1.0,2,0.0,0.0
256,4000,3,1,2,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0
509,3600,2,2,2,1.0,0.0,1.0,0.0,0.0,1,0.0,0.0
100,6600,3,2,1,1.0,0.0,1.0,0.0,1.0,0,1.0,2.0
226,5170,3,1,4,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0
508,4400,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
213,4995,4,2,1,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0
479,3660,4,1,2,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
171,10269,3,1,1,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0
98,6600,3,2,3,1.0,0.0,0.0,0.0,1.0,0,1.0,2.0
292,2747,4,2,2,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
215,4160,3,1,3,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
61,8880,2,1,1,1.0,0.0,0.0,0.0,1.0,1,0.0,1.0
406,5320,2,1,1,1.0,0.0,0.0,0.0,0.0,1,1.0,2.0
47,6600,3,1,4,1.0,0.0,0.0,0.0,1.0,3,1.0,0.0
32,4880,4,2,2,1.0,0.0,0.0,0.0,1.0,1,1.0,0.0
267,4920,3,1,2,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
327,6480,3,1,2,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0
200,4520,3,1,2,1.0,0.0,1.0,0.0,1.0,0,0.0,1.0
506,2910,2,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
27,8875,3,1,1,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
489,3300,3,1,2,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0
230,5400,2,1,2,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0
260,3162,3,1,2,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0
378,2275,3,1,3,1.0,0.0,0.0,1.0,1.0,0,1.0,1.0
288,5040,3,1,2,1.0,0.0,1.0,0.0,1.0,0,0.0,2.0
418,3500,4,1,2,1.0,0.0,0.0,0.0,1.0,2,0.0,2.0
162,6600,4,2,2,1.0,1.0,1.0,0.0,0.0,0,1.0,1.0
391,3036,3,1,2,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0
482,3150,3,1,2,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
138,5000,3,1,3,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0
62,6240,4,2,2,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0
135,6000,3,2,4,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0
128,5500,3,1,3,1.0,1.0,0.0,0.0,1.0,1,0.0,0.0
528,3970,1,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
8,8100,4,1,2,1.0,1.0,1.0,0.0,1.0,2,1.0,0.0
326,4100,4,1,1,0.0,0.0,1.0,0.0,0.0,0,0.0,2.0
344,3850,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
64,11175,3,1,1,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0
300,4079,3,1,3,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
14,7800,3,2,2,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0
156,6900,3,1,1,1.0,1.0,1.0,0.0,0.0,0,1.0,1.0
40,6550,3,1,2,1.0,0.0,1.0,0.0,1.0,0,1.0,0.0
379,3520,3,1,1,1.0,0.0,0.0,0.0,0.0,2,1.0,2.0
187,6100,3,1,1,1.0,0.0,1.0,0.0,1.0,0,1.0,1.0
534,3000,4,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
216,6040,3,1,1,1.0,0.0,0.0,0.0,0.0,2,1.0,1.0
409,3185,2,1,1,1.0,0.0,0.0,0.0,0.0,2,0.0,2.0
279,6360,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
494,6800,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
490,4350,3,1,2,0.0,0.0,0.0,1.0,0.0,1,0.0,2.0
337,2145,4,2,1,1.0,0.0,1.0,0.0,0.0,0,1.0,2.0
236,2870,2,1,2,1.0,1.0,1.0,0.0,0.0,0,1.0,1.0
207,3000,3,1,2,1.0,0.0,1.0,0.0,1.0,0,0.0,1.0
212,3420,4,2,2,1.0,0.0,1.0,0.0,1.0,2,0.0,1.0
295,2325,3,1,2,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
513,4400,3,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
251,3450,3,1,2,1.0,0.0,1.0,0.0,0.0,1,0.0,1.0
536,3420,5,1,2,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
455,5495,3,1,1,1.0,0.0,1.0,0.0,0.0,0,0.0,2.0
542,3620,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
303,4500,3,1,1,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0
350,3420,2,1,2,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0
269,3900,3,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
445,3450,1,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
201,4095,3,1,2,0.0,1.0,1.0,0.0,1.0,0,0.0,1.0
161,6100,3,1,3,1.0,1.0,0.0,0.0,1.0,0,1.0,1.0
43,6000,4,2,4,1.0,0.0,0.0,0.0,0.0,2,0.0,1.0
217,6862,3,1,2,1.0,0.0,0.0,0.0,1.0,2,1.0,0.0
401,9500,3,1,2,1.0,0.0,0.0,0.0,0.0,3,1.0,2.0
190,7600,4,1,2,1.0,0.0,0.0,0.0,1.0,2,0.0,0.0
309,4632,4,1,2,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0
259,6360,2,1,1,1.0,0.0,1.0,0.0,1.0,1,0.0,0.0
105,4500,3,1,4,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0
53,5150,3,2,4,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0
389,4600,4,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
1,8960,4,4,4,1.0,0.0,0.0,0.0,1.0,3,0.0,0.0
501,2430,3,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
359,3600,3,1,1,1.0,0.0,0.0,0.0,0.0,1,0.0,2.0
49,7440,3,2,1,1.0,1.0,1.0,0.0,1.0,0,1.0,1.0
419,4960,4,1,3,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
80,6000,3,1,2,1.0,0.0,0.0,1.0,0.0,1,1.0,1.0
205,6300,3,1,1,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0
34,6840,5,1,2,1.0,1.0,1.0,0.0,1.0,1,0.0,0.0
430,2500,2,1,1,0.0,0.0,0.0,0.0,1.0,0,0.0,2.0
263,3968,3,1,2,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
427,2145,3,1,2,1.0,0.0,1.0,0.0,0.0,0,1.0,0.0
454,4500,3,1,2,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0
443,4320,3,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0
366,3630,2,1,1,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0
91,6750,2,1,1,1.0,1.0,1.0,0.0,0.0,2,1.0,0.0
339,3180,4,2,2,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
525,3640,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
52,6000,4,2,4,1.0,1.0,0.0,0.0,1.0,1,0.0,0.0
345,2015,3,1,2,1.0,0.0,1.0,0.0,0.0,0,1.0,1.0
264,4900,2,1,2,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0
241,3760,3,1,1,1.0,0.0,0.0,0.0,0.0,2,0.0,1.0
13,3500,4,2,2,1.0,0.0,0.0,1.0,0.0,2,0.0,0.0
315,5600,2,1,1,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0
88,7410,3,1,1,1.0,1.0,1.0,0.0,1.0,2,1.0,2.0
387,4240,3,1,2,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0
273,3500,4,1,2,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0
166,7800,3,1,1,1.0,0.0,1.0,0.0,1.0,2,1.0,2.0
328,4500,3,2,2,0.0,0.0,1.0,0.0,1.0,0,0.0,1.0
539,2990,2,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0
134,7000,3,1,1,1.0,0.0,1.0,0.0,0.0,2,1.0,1.0
306,4840,3,1,2,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
484,3040,2,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
530,1950,3,1,1,0.0,0.0,0.0,1.0,0.0,0,0.0,2.0
504,3185,2,1,1,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0
319,3000,4,1,3,1.0,0.0,1.0,0.0,1.0,2,0.0,1.0
243,2550,3,1,2,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0
189,3540,2,1,1,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0
475,3000,2,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
510,2880,3,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
58,7680,4,2,4,1.0,1.0,0.0,0.0,1.0,1,0.0,1.0
474,4352,4,1,2,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0
252,9860,3,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
21,7155,3,2,1,1.0,1.0,1.0,0.0,1.0,2,0.0,2.0
313,3680,3,2,2,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
459,3500,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
160,6210,4,1,4,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0
276,4400,2,1,1,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
191,10700,3,1,2,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0
385,3640,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
413,1950,3,2,2,1.0,0.0,1.0,0.0,0.0,0,1.0,2.0
491,2640,2,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
343,4080,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
308,4046,3,1,2,1.0,0.0,1.0,0.0,0.0,1,0.0,1.0
130,4800,3,1,1,1.0,1.0,1.0,0.0,0.0,0,0.0,2.0
99,6000,4,1,3,1.0,1.0,1.0,0.0,0.0,0,1.0,2.0
372,3180,3,1,2,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0
87,3960,3,1,1,1.0,0.0,1.0,0.0,0.0,2,0.0,1.0
458,3850,3,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
330,4050,2,1,2,1.0,1.0,1.0,0.0,0.0,0,1.0,2.0
214,4350,2,1,1,1.0,0.0,1.0,0.0,0.0,0,0.0,2.0
466,3090,3,1,2,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
121,7231,3,1,2,1.0,1.0,1.0,0.0,1.0,0,1.0,1.0
20,4320,3,1,2,1.0,0.0,1.0,1.0,0.0,2,0.0,1.0
71,6000,4,2,4,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0
106,5450,4,2,1,1.0,0.0,1.0,0.0,1.0,0,1.0,1.0
270,4500,3,2,3,1.0,0.0,0.0,1.0,0.0,1,0.0,0.0
435,4040,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
102,5500,3,2,4,1.0,1.0,0.0,0.0,1.0,1,0.0,1.0
